image_path,ripeness_class,estimated_day,ttl_days_left
train/Class D/9184 (2).png,Class D,24,4
train/Class D/497 (2).png,Class D,25,3
train/Class D/526.png,Class D,27,1
train/Class D/240.png,Class D,25,3
train/Class D/532.png,Class D,28,0
train/Class D/268.png,Class D,23,5
train/Class D/9149.png,Class D,28,0
train/Class D/9175.png,Class D,24,4
train/Class D/9161.png,Class D,26,2
train/Class D/9037 (2).png,Class D,28,0
train/Class D/9027 (2).png,Class D,28,0
train/Class D/9001.png,Class D,24,4
train/Class D/23.png,Class D,25,3
train/Class D/9015.png,Class D,28,0
train/Class D/446.png,Class D,25,3
train/Class D/308.png,Class D,26,2
train/Class D/442.png,Class D,27,1
train/Class D/132.png,Class D,23,5
train/Class D/8042 (2).png,Class D,27,1
train/Class D/9039.png,Class D,26,2
train/Class D/9005.png,Class D,27,1
train/Class D/9159.png,Class D,25,3
train/Class D/9171 (2).png,Class D,28,0
train/Class D/9171.png,Class D,26,2
train/Class D/536.png,Class D,23,5
train/Class D/8092.png,Class D,25,3
train/Class D/244.png,Class D,25,3
train/Class D/279.png,Class D,26,2
train/Class D/9164.png,Class D,26,2
train/Class D/32.png,Class D,24,4
train/Class D/9004.png,Class D,28,0
train/Class D/9038.png,Class D,25,3
train/Class D/133.png,Class D,23,5
train/Class D/331.png,Class D,24,4
train/Class D/443.png,Class D,28,0
train/Class D/325.png,Class D,25,3
train/Class D/441.png,Class D,25,3
train/Class D/131.png,Class D,28,0
train/Class D/119.png,Class D,24,4
train/Class D/18.png,Class D,23,5
train/Class D/9006.png,Class D,27,1
train/Class D/30.png,Class D,26,2
train/Class D/24.png,Class D,25,3
train/Class D/9172.png,Class D,25,3
train/Class D/9062 (2).png,Class D,23,5
train/Class D/247.png,Class D,27,1
train/Class D/253.png,Class D,23,5
train/Class D/535.png,Class D,26,2
train/Class D/284.png,Class D,23,5
train/Class D/8046.png,Class D,27,1
train/Class D/8047.png,Class D,24,4
train/Class D/291.png,Class D,23,5
train/Class D/8053.png,Class D,24,4
train/Class D/285.png,Class D,26,2
train/Class D/252.png,Class D,24,4
train/Class D/9086 (2).png,Class D,27,1
train/Class D/9096 (2).png,Class D,23,5
train/Class D/246.png,Class D,28,0
train/Class D/9173.png,Class D,24,4
train/Class D/9198.png,Class D,23,5
train/Class D/9013.png,Class D,26,2
train/Class D/124.png,Class D,24,4
train/Class D/497.png,Class D,23,5
train/Class D/8127.png,Class D,25,3
train/Class D/468.png,Class D,28,0
train/Class D/326.png,Class D,27,1
train/Class D/9173 (2).png,Class D,26,2
train/Class D/382.png,Class D,25,3
train/Class D/95.png,Class D,26,2
train/Class D/157.png,Class D,27,1
train/Class D/4.png,Class D,28,0
train/Class D/9060.png,Class D,27,1
train/Class D/9074.png,Class D,25,3
train/Class D/9048.png,Class D,24,4
train/Class D/9100.png,Class D,26,2
train/Class D/9128.png,Class D,23,5
train/Class D/209.png,Class D,24,4
train/Class D/547.png,Class D,26,2
train/Class D/8050 (2).png,Class D,28,0
train/Class D/221.png,Class D,23,5
train/Class D/553.png,Class D,27,1
train/Class D/552.png,Class D,24,4
train/Class D/546.png,Class D,27,1
train/Class D/9129.png,Class D,24,4
train/Class D/9049.png,Class D,24,4
train/Class D/181.png,Class D,27,1
train/Class D/43.png,Class D,24,4
train/Class D/9075.png,Class D,25,3
train/Class D/9061.png,Class D,28,0
train/Class D/9046 (2).png,Class D,27,1
train/Class D/5.png,Class D,23,5
train/Class D/142.png,Class D,24,4
train/Class D/156.png,Class D,26,2
train/Class D/94.png,Class D,24,4
train/Class D/418.png,Class D,28,0
train/Class D/424.png,Class D,26,2
train/Class D/381.png,Class D,23,5
train/Class D/140.png,Class D,25,3
train/Class D/154.png,Class D,25,3
train/Class D/9063.png,Class D,24,4
train/Class D/183.png,Class D,25,3
train/Class D/9108 (2).png,Class D,24,4
train/Class D/9117.png,Class D,25,3
train/Class D/222.png,Class D,25,3
train/Class D/593.png,Class D,28,0
train/Class D/8037.png,Class D,28,0
train/Class D/54.png,Class D,23,5
train/Class D/9062.png,Class D,25,3
train/Class D/6.png,Class D,26,2
train/Class D/40.png,Class D,28,0
train/Class D/8004 (2).png,Class D,25,3
train/Class D/8181.png,Class D,24,4
train/Class D/425.png,Class D,28,0
train/Class D/343.png,Class D,26,2
train/Class D/419.png,Class D,28,0
train/Class D/347.png,Class D,27,1
train/Class D/421.png,Class D,23,5
train/Class D/409.png,Class D,24,4
train/Class D/9119 (2).png,Class D,24,4
train/Class D/384.png,Class D,26,2
train/Class D/9109 (2).png,Class D,23,5
train/Class D/192.png,Class D,24,4
train/Class D/44.png,Class D,28,0
train/Class D/8083 (2).png,Class D,27,1
train/Class D/9106.png,Class D,27,1
train/Class D/9112.png,Class D,24,4
train/Class D/582.png,Class D,28,0
train/Class D/583.png,Class D,27,1
train/Class D/226.png,Class D,23,5
train/Class D/45.png,Class D,27,1
train/Class D/9073.png,Class D,25,3
train/Class D/86.png,Class D,26,2
train/Class D/178.png,Class D,23,5
train/Class D/150.png,Class D,23,5
train/Class D/9098.png,Class D,23,5
train/Class D/385.png,Class D,25,3
train/Class D/346.png,Class D,26,2
train/Class D/420.png,Class D,23,5
train/Class D/344.png,Class D,25,3
train/Class D/378.png,Class D,28,0
train/Class D/387.png,Class D,26,2
train/Class D/8179.png,Class D,28,0
train/Class D/9162 (2).png,Class D,25,3
train/Class D/90.png,Class D,28,0
train/Class D/53.png,Class D,24,4
train/Class D/1.png,Class D,23,5
train/Class D/9071.png,Class D,28,0
train/Class D/47.png,Class D,27,1
train/Class D/8051 (2).png,Class D,28,0
train/Class D/9139.png,Class D,27,1
train/Class D/9111.png,Class D,26,2
train/Class D/224.png,Class D,27,1
train/Class D/556.png,Class D,25,3
train/Class D/581.png,Class D,27,1
train/Class D/594.png,Class D,26,2
train/Class D/580.png,Class D,28,0
train/Class D/557.png,Class D,24,4
train/Class D/9025 (2).png,Class D,27,1
train/Class D/9110.png,Class D,24,4
train/Class D/9138.png,Class D,23,5
train/Class D/9070.png,Class D,25,3
train/Class D/46.png,Class D,24,4
train/Class D/52.png,Class D,26,2
train/Class D/9058.png,Class D,28,0
train/Class D/9186 (2).png,Class D,24,4
train/Class D/85.png,Class D,28,0
train/Class D/91.png,Class D,25,3
train/Class D/153.png,Class D,28,0
train/Class D/9057 (2).png,Class D,28,0
train/Class D/386.png,Class D,23,5
train/Class D/423.png,Class D,27,1
train/Class C/348.png,Class C,19,9
train/Class C/374.png,Class C,18,10
train/Class C/8019 (2).png,Class C,20,8
train/Class C/88.png,Class C,18,10
train/Class C/604.png,Class C,18,10
train/Class C/9041.png,Class C,19,9
train/Class C/63.png,Class C,16,12
train/Class C/9055.png,Class C,20,8
train/Class C/9121.png,Class C,21,7
train/Class C/572.png,Class C,19,9
train/Class C/599.png,Class C,16,12
train/Class C/8029.png,Class C,18,10
train/Class C/8015.png,Class C,17,11
train/Class C/8000.png,Class C,22,6
train/Class C/8014.png,Class C,22,6
train/Class C/8028.png,Class C,20,8
train/Class C/567.png,Class C,19,9
train/Class C/229.png,Class C,22,6
train/Class C/9167 (2).png,Class C,16,12
train/Class C/125 (2).png,Class C,16,12
train/Class C/62.png,Class C,20,8
train/Class C/9054.png,Class C,17,11
train/Class C/188.png,Class C,20,8
train/Class C/243 (2).png,Class C,19,9
train/Class C/163.png,Class C,18,10
train/Class C/89.png,Class C,19,9
train/Class C/9083.png,Class C,18,10
train/Class C/8174.png,Class C,19,9
train/Class C/413.png,Class C,21,7
train/Class C/375.png,Class C,16,12
train/Class C/411.png,Class C,20,8
train/Class C/7084.png,Class C,19,9
train/Class C/607.png,Class C,17,11
train/Class C/9042.png,Class C,17,11
train/Class C/171 (2).png,Class C,19,9
train/Class C/565.png,Class C,16,12
train/Class C/8017.png,Class C,18,10
train/Class C/8135 (2).png,Class C,16,12
train/Class C/9137.png,Class C,16,12
train/Class C/49.png,Class C,22,6
train/Class C/8096 (2).png,Class C,19,9
train/Class C/376.png,Class C,15,13
train/Class C/9132 (2).png,Class C,15,13
train/Class C/49 (2).png,Class C,18,10
train/Class C/65.png,Class C,16,12
train/Class C/9047.png,Class C,20,8
train/Class C/560.png,Class C,21,7
train/Class C/206.png,Class C,18,10
train/Class C/8007.png,Class C,16,12
train/Class C/8011 (2).png,Class C,17,11
train/Class C/443 (2).png,Class C,19,9
train/Class C/8006.png,Class C,17,11
train/Class C/207.png,Class C,16,12
train/Class C/9132.png,Class C,15,13
train/Class C/70.png,Class C,20,8
train/Class C/64.png,Class C,18,10
train/Class C/8156 (2).png,Class C,17,11
train/Class C/9085.png,Class C,20,8
train/Class C/171.png,Class C,16,12
train/Class C/165.png,Class C,17,11
train/Class C/8172.png,Class C,22,6
train/Class C/401.png,Class C,21,7
train/Class C/371.png,Class C,16,12
train/Class C/8170.png,Class C,21,7
train/Class C/8158.png,Class C,21,7
train/Class C/167.png,Class C,21,7
train/Class C/8206 (2).png,Class C,16,12
train/Class C/9087.png,Class C,16,12
train/Class C/9078.png,Class C,18,10
train/Class C/8170 (2).png,Class C,19,9
train/Class C/198.png,Class C,22,6
train/Class C/66.png,Class C,15,13
train/Class C/8206.png,Class C,15,13
train/Class C/205.png,Class C,16,12
train/Class C/8010.png,Class C,15,13
train/Class C/8004.png,Class C,21,7
train/Class C/8038.png,Class C,18,10
train/Class C/8039.png,Class C,21,7
train/Class C/8005.png,Class C,15,13
train/Class C/8011.png,Class C,19,9
train/Class C/562.png,Class C,15,13
train/Class C/9051.png,Class C,20,8
train/Class C/67.png,Class C,15,13
train/Class C/8194 (2).png,Class C,17,11
train/Class C/172.png,Class C,21,7
train/Class C/8171.png,Class C,17,11
train/Class C/416.png,Class C,20,8
train/Class C/8116.png,Class C,21,7
train/Class C/129.png,Class C,16,12
train/Class C/14.png,Class C,16,12
train/Class C/7147.png,Class C,21,7
train/Class C/8001 - copia.png,Class C,21,7
train/Class C/8076.png,Class C,16,12
train/Class C/7146.png,Class C,20,8
train/Class C/15.png,Class C,21,7
train/Class C/9023.png,Class C,20,8
train/Class C/8117.png,Class C,19,9
train/Class C/249 (2).png,Class C,20,8
train/Class C/472.png,Class C,20,8
train/Class C/499.png,Class C,22,6
train/Class C/8100 (2).png,Class C,17,11
train/Class C/8115.png,Class C,18,10
train/Class C/8101.png,Class C,16,12
train/Class C/9009.png,Class C,15,13
train/Class C/599 (2).png,Class C,19,9
train/Class C/8075.png,Class C,19,9
train/Class C/8048.png,Class C,20,8
train/Class C/507.png,Class C,19,9
train/Class C/8196 (2).png,Class C,16,12
train/Class C/249.png,Class C,17,11
train/Class C/250 (2).png,Class C,18,10
train/Class C/9183.png,Class C,20,8
train/Class C/9008.png,Class C,16,12
train/Class C/9020.png,Class C,16,12
train/Class C/8100.png,Class C,22,6
train/Class C/8114.png,Class C,19,9
train/Class C/8128.png,Class C,17,11
train/Class C/498.png,Class C,17,11
train/Class C/315.png,Class C,16,12
train/Class C/477.png,Class C,16,12
train/Class C/339.png,Class C,19,9
train/Class C/8110.png,Class C,16,12
train/Class C/8069 (2).png,Class C,16,12
train/Class C/521 (2).png,Class C,22,6
train/Class C/7141.png,Class C,22,6
train/Class C/9144.png,Class C,16,12
train/Class C/271.png,Class C,18,10
train/Class C/503.png,Class C,19,9
train/Class C/329 (2).png,Class C,20,8
train/Class C/8056 (2).png,Class C,16,12
train/Class C/9107 (2).png,Class C,16,12
train/Class C/502.png,Class C,15,13
train/Class C/9151.png,Class C,18,10
train/Class C/9179.png,Class C,20,8
train/Class C/8197 (2).png,Class C,20,8
train/Class C/155 (2).png,Class C,17,11
train/Class C/8111.png,Class C,20,8
train/Class C/476.png,Class C,20,8
train/Class C/312.png,Class C,15,13
train/Class C/448.png,Class C,22,6
train/Class C/104.png,Class C,21,7
train/Class C/11.png,Class C,16,12
train/Class C/9153.png,Class C,21,7
train/Class C/500.png,Class C,20,8
train/Class C/272.png,Class C,20,8
train/Class C/8098.png,Class C,17,11
train/Class C/528.png,Class C,16,12
train/Class C/8073.png,Class C,20,8
train/Class C/8067.png,Class C,21,7
train/Class C/8118 (2).png,Class C,16,12
train/Class C/501.png,Class C,21,7
train/Class C/352 (2).png,Class C,21,7
train/Class C/38.png,Class C,17,11
train/Class C/313.png,Class C,20,8
train/Class C/444.png,Class C,17,11
train/Class C/487.png,Class C,19,9
train/Class C/8150 (2).png,Class C,20,8
train/Class C/8028 (2).png,Class C,21,7
train/Class C/35.png,Class C,17,11
train/Class C/9177.png,Class C,16,12
train/Class C/8094.png,Class C,21,7
train/Class C/524.png,Class C,20,8
train/Class C/8080.png,Class C,22,6
train/Class C/8043.png,Class C,21,7
train/Class C/8042.png,Class C,21,7
train/Class C/294.png,Class C,18,10
train/Class C/531.png,Class C,15,13
train/Class C/8017 (2).png,Class C,22,6
train/Class C/8081.png,Class C,20,8
train/Class C/243.png,Class C,20,8
train/Class C/84 (2).png,Class C,18,10
train/Class C/7173.png,Class C,19,9
train/Class C/7013.png,Class C,20,8
train/Class C/9002.png,Class C,20,8
train/Class C/8075 (2).png,Class C,18,10
train/Class C/272 (2).png,Class C,22,6
train/Class C/451.png,Class C,20,8
train/Class C/479.png,Class C,20,8
train/Class C/309.png,Class C,22,6
train/Class C/453.png,Class C,15,13
train/Class C/8134.png,Class C,19,9
train/Class C/484.png,Class C,18,10
train/Class C/8192 (2).png,Class C,20,8
train/Class C/123.png,Class C,20,8
train/Class C/8182 (2).png,Class C,16,12
train/Class C/9014.png,Class C,21,7
train/Class C/8083.png,Class C,19,9
train/Class C/282.png,Class C,22,6
train/Class C/8055.png,Class C,19,9
train/Class C/526.png,Class C,19,9
train/Class C/8096.png,Class C,19,9
train/Class C/8082.png,Class C,15,13
train/Class C/9149.png,Class C,18,10
train/Class C/9175.png,Class C,15,13
train/Class C/313 (2).png,Class C,15,13
train/Class C/8030 (3).png,Class C,15,13
train/Class C/534 (2).png,Class C,20,8
train/Class C/524 (2).png,Class C,16,12
train/Class C/8109.png,Class C,16,12
train/Class C/324.png,Class C,21,7
train/Class C/384 (2).png,Class C,21,7
train/Class C/456.png,Class C,16,12
train/Class C/318.png,Class C,19,9
train/Class C/481.png,Class C,22,6
train/Class C/8125.png,Class C,15,13
train/Class C/126.png,Class C,21,7
train/Class C/8030 (2).png,Class C,15,13
train/Class C/227 (2).png,Class C,18,10
train/Class C/250.png,Class C,15,13
train/Class C/287.png,Class C,21,7
train/Class C/8078.png,Class C,15,13
train/Class C/279.png,Class C,17,11
train/Class C/245.png,Class C,21,7
train/Class C/8093.png,Class C,22,6
train/Class C/523.png,Class C,19,9
train/Class C/251.png,Class C,20,8
train/Class C/9170.png,Class C,21,7
train/Class C/9164.png,Class C,17,11
train/Class C/127.png,Class C,15,13
train/Class C/8118.png,Class C,20,8
train/Class C/8124.png,Class C,22,6
train/Class C/325.png,Class C,17,11
train/Class C/333.png,Class C,15,13
train/Class C/496.png,Class C,19,9
train/Class C/8126.png,Class C,19,9
train/Class C/8132.png,Class C,22,6
train/Class C/131.png,Class C,21,7
train/Class C/125.png,Class C,19,9
train/Class C/18.png,Class C,22,6
train/Class C/7177.png,Class C,21,7
train/Class C/521.png,Class C,16,12
train/Class C/8091.png,Class C,15,13
train/Class C/247.png,Class C,17,11
train/Class C/9072 (2).png,Class C,15,13
train/Class C/290.png,Class C,17,11
train/Class C/285.png,Class C,15,13
train/Class C/508.png,Class C,21,7
train/Class C/9167.png,Class C,16,12
train/Class C/8006 (2).png,Class C,22,6
train/Class C/379 (2).png,Class C,17,11
train/Class C/19.png,Class C,15,13
train/Class C/118.png,Class C,15,13
train/Class C/8133.png,Class C,21,7
train/Class C/483.png,Class C,19,9
train/Class C/8044 - copia.png,Class C,19,9
train/Class C/440.png,Class C,19,9
train/Class C/454.png,Class C,18,10
train/Class C/225 (2).png,Class C,16,12
train/Class C/8154.png,Class C,15,13
train/Class C/95.png,Class C,19,9
train/Class C/42.png,Class C,19,9
train/Class C/9074.png,Class C,15,13
train/Class C/8181 (2).png,Class C,17,11
train/Class C/221.png,Class C,19,9
train/Class C/8128 (2).png,Class C,15,13
train/Class C/8008.png,Class C,16,12
train/Class C/546.png,Class C,21,7
train/Class C/9061.png,Class C,15,13
train/Class C/383.png,Class C,20,8
train/Class C/8196.png,Class C,21,7
train/Class C/340.png,Class C,18,10
train/Class C/424.png,Class C,21,7
train/Class C/342.png,Class C,20,8
train/Class C/8194.png,Class C,15,13
train/Class C/8180.png,Class C,15,13
train/Class C/82.png,Class C,16,12
train/Class C/168.png,Class C,16,12
train/Class C/41.png,Class C,20,8
train/Class C/7.png,Class C,19,9
train/Class C/197.png,Class C,17,11
train/Class C/8153 (2).png,Class C,15,13
train/Class C/479 (2).png,Class C,18,10
train/Class C/550.png,Class C,15,13
train/Class C/222.png,Class C,20,8
train/Class C/8036.png,Class C,20,8
train/Class C/223.png,Class C,17,11
train/Class C/68.png,Class C,16,12
train/Class C/6.png,Class C,20,8
train/Class C/40.png,Class C,21,7
train/Class C/155.png,Class C,17,11
train/Class C/83.png,Class C,16,12
train/Class C/8014 (2).png,Class C,15,13
train/Class C/380.png,Class C,21,7
train/Class C/8156.png,Class C,17,11
train/Class C/87 (2).png,Class C,16,12
train/Class C/409.png,Class C,19,9
train/Class C/129 (2).png,Class C,22,6
train/Class C/9072.png,Class C,17,11
train/Class C/62 (2).png,Class C,22,6
train/Class C/9112.png,Class C,17,11
train/Class C/555.png,Class C,21,7
train/Class C/227.png,Class C,17,11
train/Class C/569.png,Class C,21,7
train/Class C/596.png,Class C,15,13
train/Class C/8032.png,Class C,20,8
train/Class C/226.png,Class C,15,13
train/Class C/9113.png,Class C,21,7
train/Class C/9136 (2).png,Class C,17,11
train/Class C/9107.png,Class C,19,9
train/Class C/51.png,Class C,21,7
train/Class C/45.png,Class C,19,9
train/Class C/193.png,Class C,22,6
train/Class C/8153.png,Class C,15,13
train/Class C/408.png,Class C,18,10
train/Class C/352.png,Class C,15,13
train/Class C/8190.png,Class C,15,13
train/Class C/420.png,Class C,21,7
train/Class C/350.png,Class C,18,10
train/Class C/436.png,Class C,17,11
train/Class C/422.png,Class C,19,9
train/Class C/8192.png,Class C,15,13
train/Class C/19 (2).png,Class C,19,9
train/Class C/8151.png,Class C,21,7
train/Class C/8179.png,Class C,21,7
train/Class C/608.png,Class C,15,13
train/Class C/84.png,Class C,15,13
train/Class C/9059.png,Class C,17,11
train/Class C/191.png,Class C,22,6
train/Class C/185.png,Class C,17,11
train/Class C/9105.png,Class C,17,11
train/Class C/8031.png,Class C,18,10
train/Class C/595.png,Class C,16,12
train/Class C/8019.png,Class C,15,13
train/Class C/8018.png,Class C,22,6
train/Class C/594.png,Class C,17,11
train/Class C/8030.png,Class C,16,12
train/Class C/225.png,Class C,16,12
train/Class C/9104.png,Class C,18,10
train/Class C/9110.png,Class C,18,10
train/Class C/9070.png,Class C,15,13
train/Class C/609.png,Class C,18,10
train/Class C/8150.png,Class C,19,9
train/Class C/379.png,Class C,18,10
train/Class C/8193.png,Class C,20,8
train/Class C/345.png,Class C,16,12
train/Class A/348.png,Class A,3,25
train/Class A/374.png,Class A,1,27
train/Class A/360.png,Class A,1,27
train/Class A/406.png,Class A,6,22
train/Class A/7093.png,Class A,4,24
train/Class A/176.png,Class A,4,24
train/Class A/610.png,Class A,5,23
train/Class A/7087.png,Class A,6,22
train/Class A/162.png,Class A,5,23
train/Class A/837.png,Class A,5,23
train/Class A/823.png,Class A,1,27
train/Class A/7078.png,Class A,1,27
train/Class A/7050.png,Class A,5,23
train/Class A/758.png,Class A,6,22
train/Class A/764.png,Class A,1,27
train/Class A/7118.png,Class A,4,24
train/Class A/957.png,Class A,2,26
train/Class A/490 (2).png,Class A,5,23
train/Class A/480 (2).png,Class A,1,27
train/Class A/7130.png,Class A,5,23
train/Class A/200.png,Class A,2,26
train/Class A/541 (2).png,Class A,6,22
train/Class A/572.png,Class A,6,22
train/Class A/599.png,Class A,1,27
train/Class A/1019.png,Class A,4,24
train/Class A/8014.png,Class A,1,27
train/Class A/1018.png,Class A,5,23
train/Class A/573.png,Class A,2,26
train/Class A/567.png,Class A,4,24
train/Class A/201.png,Class A,3,25
train/Class A/229.png,Class A,1,27
train/Class A/7131.png,Class A,5,23
train/Class A/956.png,Class A,2,26
train/Class A/7119.png,Class A,1,27
train/Class A/7045.png,Class A,3,25
train/Class A/125 (2).png,Class A,5,23
train/Class A/7079.png,Class A,6,22
train/Class A/836.png,Class A,5,23
train/Class A/163.png,Class A,5,23
train/Class A/7086.png,Class A,4,24
train/Class A/611.png,Class A,1,27
train/Class A/416 (2).png,Class A,5,23
train/Class A/406 (2).png,Class A,3,25
train/Class A/361.png,Class A,2,26
train/Class A/407.png,Class A,6,22
train/Class A/413.png,Class A,2,26
train/Class A/375.png,Class A,6,22
train/Class A/7078 (2).png,Class A,5,23
train/Class A/349.png,Class A,3,25
train/Class A/405.png,Class A,6,22
train/Class A/363.png,Class A,2,26
train/Class A/377.png,Class A,1,27
train/Class A/411.png,Class A,5,23
train/Class A/388.png,Class A,4,24
train/Class A/489 (2).png,Class A,1,27
train/Class A/499 (2).png,Class A,4,24
train/Class A/161.png,Class A,5,23
train/Class A/548 (2).png,Class A,4,24
train/Class A/420 (2).png,Class A,3,25
train/Class A/613.png,Class A,2,26
train/Class A/7090.png,Class A,5,23
train/Class A/175.png,Class A,2,26
train/Class A/820.png,Class A,1,27
train/Class A/834.png,Class A,1,27
train/Class A/103 (2).png,Class A,5,23
train/Class A/808.png,Class A,6,22
train/Class A/7053.png,Class A,4,24
train/Class A/161 (2).png,Class A,3,25
train/Class A/983.png,Class A,4,24
train/Class A/773.png,Class A,3,25
train/Class A/954.png,Class A,2,26
train/Class A/940.png,Class A,5,23
train/Class A/7127.png,Class A,4,24
train/Class A/559.png,Class A,2,26
train/Class A/571.png,Class A,1,27
train/Class A/203.png,Class A,6,22
train/Class A/8016.png,Class A,1,27
train/Class A/1027.png,Class A,2,26
train/Class A/570.png,Class A,1,27
train/Class A/558.png,Class A,3,25
train/Class A/7132.png,Class A,5,23
train/Class A/969.png,Class A,4,24
train/Class A/941.png,Class A,2,26
train/Class A/6 (2).png,Class A,4,24
train/Class A/955.png,Class A,1,27
train/Class A/772.png,Class A,3,25
train/Class A/185 (2).png,Class A,1,27
train/Class A/7119 (2).png,Class A,4,24
train/Class A/7109 (2).png,Class A,4,24
train/Class A/809.png,Class A,3,25
train/Class A/7052.png,Class A,4,24
train/Class A/835.png,Class A,2,26
train/Class A/821.png,Class A,4,24
train/Class A/612.png,Class A,5,23
train/Class A/174.png,Class A,6,22
train/Class A/7091.png,Class A,5,23
train/Class A/160.png,Class A,6,22
train/Class A/15 (2).png,Class A,3,25
train/Class A/281 (2).png,Class A,5,23
train/Class A/404.png,Class A,2,26
train/Class A/362.png,Class A,6,22
train/Class A/549 (2).png,Class A,2,26
train/Class A/414.png,Class A,4,24
train/Class A/372.png,Class A,3,25
train/Class A/602.png,Class A,3,25
train/Class A/7081.png,Class A,4,24
train/Class A/164.png,Class A,6,22
train/Class A/616.png,Class A,5,23
train/Class A/819.png,Class A,1,27
train/Class A/7042.png,Class A,4,24
train/Class A/59 (2).png,Class A,4,24
train/Class A/7056.png,Class A,1,27
train/Class A/488 (2).png,Class A,4,24
train/Class A/825.png,Class A,5,23
train/Class A/71.png,Class A,2,26
train/Class A/776.png,Class A,5,23
train/Class A/986.png,Class A,3,25
train/Class A/7136.png,Class A,4,24
train/Class A/7122.png,Class A,5,23
train/Class A/789.png,Class A,2,26
train/Class A/951.png,Class A,2,26
train/Class A/212.png,Class A,4,24
train/Class A/560.png,Class A,1,27
train/Class A/548.png,Class A,4,24
train/Class A/8013.png,Class A,1,27
train/Class A/92 (2).png,Class A,4,24
train/Class A/7108 (2).png,Class A,5,23
train/Class A/194 (2).png,Class A,2,26
train/Class A/7118 (2).png,Class A,1,27
train/Class A/549.png,Class A,1,27
train/Class A/561.png,Class A,2,26
train/Class A/788.png,Class A,5,23
train/Class A/987.png,Class A,3,25
train/Class A/763.png,Class A,3,25
train/Class A/777.png,Class A,4,24
train/Class A/351 (2).png,Class A,4,24
train/Class A/70.png,Class A,5,23
train/Class A/229 (2).png,Class A,4,24
train/Class A/824.png,Class A,3,25
train/Class A/58.png,Class A,1,27
train/Class A/818.png,Class A,6,22
train/Class A/7043.png,Class A,3,25
train/Class A/7094.png,Class A,3,25
train/Class A/617.png,Class A,5,23
train/Class A/603.png,Class A,3,25
train/Class A/7080.png,Class A,6,22
train/Class A/290 (2).png,Class A,3,25
train/Class A/14 (2).png,Class A,1,27
train/Class A/415.png,Class A,2,26
train/Class A/373.png,Class A,4,24
train/Class A/371.png,Class A,2,26
train/Class A/403.png,Class A,4,24
train/Class A/365.png,Class A,2,26
train/Class A/32 (2).png,Class A,2,26
train/Class A/173.png,Class A,4,24
train/Class A/7082.png,Class A,2,26
train/Class A/601.png,Class A,5,23
train/Class A/629.png,Class A,2,26
train/Class A/7055.png,Class A,6,22
train/Class A/7041.png,Class A,1,27
train/Class A/832.png,Class A,3,25
train/Class A/72.png,Class A,5,23
train/Class A/7069.png,Class A,3,25
train/Class A/198.png,Class A,2,26
train/Class A/66.png,Class A,5,23
train/Class A/540 (2).png,Class A,5,23
train/Class A/761.png,Class A,6,22
train/Class A/775.png,Class A,3,25
train/Class A/985.png,Class A,2,26
train/Class A/991.png,Class A,4,24
train/Class A/7121.png,Class A,5,23
train/Class A/7135.png,Class A,1,27
train/Class A/9130.png,Class A,5,23
train/Class A/7109.png,Class A,5,23
train/Class A/952.png,Class A,5,23
train/Class A/211.png,Class A,3,25
train/Class A/239.png,Class A,2,26
train/Class A/1020.png,Class A,5,23
train/Class A/40 (2).png,Class A,2,26
train/Class A/588.png,Class A,4,24
train/Class A/589.png,Class A,2,26
train/Class A/348 (2).png,Class A,6,22
train/Class A/220 (2).png,Class A,6,22
train/Class A/238.png,Class A,6,22
train/Class A/210.png,Class A,1,27
train/Class A/146 (2).png,Class A,3,25
train/Class A/7108.png,Class A,4,24
train/Class A/953.png,Class A,1,27
train/Class A/7120.png,Class A,4,24
train/Class A/748.png,Class A,4,24
train/Class A/984.png,Class A,1,27
train/Class A/299 (2).png,Class A,4,24
train/Class A/774.png,Class A,5,23
train/Class A/760.png,Class A,6,22
train/Class A/199.png,Class A,4,24
train/Class A/67.png,Class A,5,23
train/Class A/73.png,Class A,4,24
train/Class A/833.png,Class A,6,22
train/Class A/7068.png,Class A,4,24
train/Class A/393 (2).png,Class A,6,22
train/Class A/7040.png,Class A,2,26
train/Class A/383 (2).png,Class A,1,27
train/Class A/7054.png,Class A,3,25
train/Class A/7069 (2).png,Class A,3,25
train/Class A/7079 (2).png,Class A,5,23
train/Class A/628.png,Class A,2,26
train/Class A/600.png,Class A,4,24
train/Class A/614.png,Class A,2,26
train/Class A/172.png,Class A,6,22
train/Class A/7097.png,Class A,4,24
train/Class A/134 (2).png,Class A,3,25
train/Class A/124 (2).png,Class A,2,26
train/Class A/407 (2).png,Class A,1,27
train/Class A/252 (2).png,Class A,3,25
train/Class A/364.png,Class A,2,26
train/Class A/242 (2).png,Class A,4,24
train/Class A/459.png,Class A,4,24
train/Class A/317.png,Class A,3,25
train/Class A/471.png,Class A,6,22
train/Class A/529 (2).png,Class A,2,26
train/Class A/897.png,Class A,6,22
train/Class A/673.png,Class A,4,24
train/Class A/115.png,Class A,4,24
train/Class A/101.png,Class A,6,22
train/Class A/14.png,Class A,2,26
train/Class A/172 (2).png,Class A,3,25
train/Class A/698.png,Class A,4,24
train/Class A/7027.png,Class A,2,26
train/Class A/7184.png,Class A,4,24
train/Class A/713.png,Class A,4,24
train/Class A/920.png,Class A,6,22
train/Class A/934.png,Class A,2,26
train/Class A/908.png,Class A,3,25
